0 0.001
1 0.144
2 1.218
3 0.138
4 1.370
5 0.146
6 0.337
7 0.015
8 0.207
9 0.748
10 2.712
11 1.026
12 1.039
13 2.809
14 1.033
15 2.748
16 2.737
17 3.047
18 2.583
19 0.280
20 0.001
21 0.001
22 0.001
23 0.001
24 0.001
25 0.001
26 0.001
27 0.020
28 0.030
29 0.001
30 0.011
31 0.028
32 0.032
